Algorithm,Size,RepeatNumber,TimeSeconds,AlgorithmName
0,2,0,4.98e-07,Standard Algorithm
0,2,1,2.81e-07,Standard Algorithm
0,2,2,1.88e-07,Standard Algorithm
2,2,0,6.19e-07,Strassen Algorithm
2,2,1,1.84e-07,Strassen Algorithm
2,2,2,1.44e-07,Strassen Algorithm
3,2,0,1.2291e-05,DGEMM Algorithm
3,2,1,3.59e-07,DGEMM Algorithm
3,2,2,1.61e-07,DGEMM Algorithm
0,4,0,5.28e-07,Standard Algorithm
0,4,1,3.43e-07,Standard Algorithm
0,4,2,2.95e-07,Standard Algorithm
2,4,0,4.86e-07,Strassen Algorithm
2,4,1,2.96e-07,Strassen Algorithm
2,4,2,2.59e-07,Strassen Algorithm
3,4,0,2.75e-07,DGEMM Algorithm
3,4,1,2.35e-07,DGEMM Algorithm
3,4,2,1.67e-07,DGEMM Algorithm
0,8,0,1.155e-06,Standard Algorithm
0,8,1,9.32e-07,Standard Algorithm
0,8,2,7.4e-07,Standard Algorithm
2,8,0,8.79e-07,Strassen Algorithm
2,8,1,8.21e-07,Strassen Algorithm
2,8,2,7.69e-07,Strassen Algorithm
3,8,0,5.47e-07,DGEMM Algorithm
3,8,1,1.482e-06,DGEMM Algorithm
3,8,2,3.81e-07,DGEMM Algorithm
0,16,0,4.666e-06,Standard Algorithm
0,16,1,4.562e-06,Standard Algorithm
0,16,2,4.06e-06,Standard Algorithm
2,16,0,5.039e-06,Strassen Algorithm
2,16,1,5.124e-06,Strassen Algorithm
2,16,2,5.114e-06,Strassen Algorithm
3,16,0,8.77e-07,DGEMM Algorithm
3,16,1,5.65e-07,DGEMM Algorithm
3,16,2,5.67e-07,DGEMM Algorithm
